Entity Name,Domain Code,Entity Keys,Table Name,Table Column
Work Order Close Transaction Line,WOCloseTransactionLine,WOCloseTransactionLine_transaction,DW_NS_WORK_ORDER_CLOSE_LINES_F,transaction
Work Order Close Transactions,WOCloseTransactions,WOCloseTransactions_id,DW_NS_WORK_ORDER_CLOSE_F,id
Work Order Close Transactions,WOCloseTransactions,WOCloseTransactions_id,DW_NS_WORK_ORDER_CLOSE_LINES_F,transaction
Work Order Completion Transaction Accounting Line,WOComplTransactionAccountingLine,WOComplTransactionAccountingLine_accountingbook,DW_NS_WORK_ORDER_COMPLETION_LINES_F,accountingbook
Work Order Completion Transaction Accounting Line,WOComplTransactionAccountingLine,WOComplTransactionAccountingLine_transaction,DW_NS_WORK_ORDER_COMPLETION_LINES_F,transaction
Work Order Completion Transaction Accounting Line,WOComplTransactionAccountingLine,WOComplTransactionAccountingLine_transactionline,DW_NS_WORK_ORDER_COMPLETION_LINES_F,id
Work Order Completion Transaction Line,WOComplTransactionLine,WOComplTransactionLine_id,DW_NS_WORK_ORDER_COMPLETION_LINES_F,id
Work Order Completion Transaction Line,WOComplTransactionLine,WOComplTransactionLine_transaction,DW_NS_WORK_ORDER_COMPLETION_LINES_F,transaction
Work Order Completion Transactions,WOComplTransactions,WOComplTransactions_id,DW_NS_WORK_ORDER_COMPLETION_F,id
Work Order Completion Transactions,WOComplTransactions,WOComplTransactions_id,DW_NS_WORK_ORDER_COMPLETION_LINES_F,transaction
Work Order Issue Transaction Accounting Line,WOIssueTransactionAccountingLine,WOIssueTransactionAccountingLine_accountingbook,DW_NS_WORK_ORDER_ISSUE_LINES_F,accountingbook
Work Order Issue Transaction Accounting Line,WOIssueTransactionAccountingLine,WOIssueTransactionAccountingLine_transaction,DW_NS_WORK_ORDER_ISSUE_LINES_F,transaction
Work Order Issue Transaction Accounting Line,WOIssueTransactionAccountingLine,WOIssueTransactionAccountingLine_transactionline,DW_NS_WORK_ORDER_ISSUE_LINES_F,id
Work Order Issue Transaction Line,WOIssueTransactionLine,WOIssueTransactionLine_id,DW_NS_WORK_ORDER_ISSUE_LINES_F,id
Work Order Issue Transaction Line,WOIssueTransactionLine,WOIssueTransactionLine_transaction,DW_NS_WORK_ORDER_ISSUE_LINES_F,transaction
Work Order Issue Transactions,WOIssueTransactions,WOIssueTransactions_id,DW_NS_WORK_ORDER_ISSUE_F,id
Work Order Issue Transactions,WOIssueTransactions,WOIssueTransactions_id,DW_NS_WORK_ORDER_ISSUE_LINES_F,transaction
Work Order Transaction Accounting Line,WorkOrdTransactionAccountingLine,WorkOrdTransactionAccountingLine_accountingbook,DW_NS_WORK_ORDER_LINES_F,accountingbook
Work Order Transaction Accounting Line,WorkOrdTransactionAccountingLine,WorkOrdTransactionAccountingLine_transaction,DW_NS_WORK_ORDER_LINES_F,transaction
Work Order Transaction Accounting Line,WorkOrdTransactionAccountingLine,WorkOrdTransactionAccountingLine_transactionline,DW_NS_WORK_ORDER_LINES_F,id
Work Order Transaction Line,WorkOrdTransactionLine,WorkOrdTransactionLine_id,DW_NS_WORK_ORDER_LINES_F,id
Work Order Transaction Line,WorkOrdTransactionLine,WorkOrdTransactionLine_transaction,DW_NS_WORK_ORDER_LINES_F,transaction
Work Order Transactions,WorkOrdTransactions,WorkOrdTransactions_id,DW_NS_WORK_ORDER_F,id
Work Order Transactions,WorkOrdTransactions,WorkOrdTransactions_id,DW_NS_WORK_ORDER_LINES_F,transaction
Work Order Transactions,WorkOrdTransactions,WorkOrdTransactions_id,DW_NS_WORK_ORDER_SNAPSHOT_F,id
Workplace,workplace,workplace_id,DW_NS_workplace_D,id
Workplace Main Address,WorkplaceMainAddress,WorkplaceMainAddress_nkey,DW_NS_WorkplaceMainAddress_D,nkey
Zone,zone,zone_id,DW_NS_zone_D,id
